Light,Observed growth rate
98.50,18.17
98.50,26.00
98.50,25.67
23.50,6.17
11.82,10.00
11.82,11.17
19.42,7.33
19.42,15.67
98.70,44.17
98.70,39.67
98.70,30.00
10.92,4.83
6.46,4.17
6.46,5.33
11.12,4.67
50.42,28.17
57.55,22.67
56.31,36.33
53.59,37.33
53.50,35.33
56.97,37.25
67.80,33.83
70.93,32.00
75.15,34.17
22.64,12.50
64.29,26.17
12.75,11.50
29.01,7.50
39.56,25.00
29.57,14.33
28.72,17.17
71.11,28.33
98.00,12.67
98.00,30.33
98.00,25.00
5.64,2.67
6.91,3.50
39.06,19.17
28.84,30.67
38.22,32.17
43.41,46.67
38.22,24.83
56.38,31.67
53.50,26.83
29.38,29.67
39.08,30.83
18.68,28.67
18.05,20.17
25.38,4.67
57.07,25.50
25.93,6.83
15.47,10.50
14.59,4.17
42.91,26.33
37.13,31.33
66.42,13.50
39.26,14.33
14.90,16.83
14.90,8.17
27.39,11.67
19.74,23.17
22.85,21.17
98.30,37.00
98.30,34.17
98.30,29.17
7.65,5.33
7.65,6.00
8.76,6.50
8.76,4.00
8.76,6.67
41.28,16.83
43.39,17.00
40.51,23.17
80.50,31.67
82.85,31.17
83.51,23.50
85.93,27.33
